n,r,t
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:agreement,text:agreement}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:populace,text:public}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:particular,text:particular}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:substantially,text:substantially}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:affordable,text:affordable}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:healthcare,text:healthcare}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:national,text:national}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:maltreatment,text:abuse}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:prevention,text:prevention}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:treatment,text:treatment}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:end,text:end}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:1,000,text:1,000}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:primarily,text:primarily}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:second,text:second}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:infect,text:infect}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:planning,text:planning}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:receive,text:receive}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:antenatal,text:antenatal}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:ratio,text:ratio}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:fall,text:fall}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:survive,text:survive}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:likely,text:likely}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:five,text:five}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:proportion,text:proportion}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:avert,text:avert}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:few,text:few}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:1990,text:1990}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:pollution,text:pollution}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:premature,text:premature}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:efficient,text:efficient}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:tobacco,text:tobacco}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:significant,text:significant}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:park,text:common}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:100,000,text:100,000}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:attempt,text:effort}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:universe,text:world}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:slow,text:slow}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:anticipation,text:expectancy}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:sustainable,text:sustainable}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:financing,text:financing}"
"{nombre:Ensure healthy lives and promote well-being for all at all ages,id:3}",{peso:0.002306805074971165},"{concept:affect,text:affect}"
