,text,concept,weight
0,change,change,0.0031645569620253164
1,today,today,0.0031645569620253164
2,affect,affect,0.0031645569620253164
3,day,day,0.0031645569620253164
4,preventable,preventable,0.0031645569620253164
5,measle,measle,0.0031645569620253164
6,tuberculosis,tuberculosis,0.0031645569620253164
7,"16,000","16,000",0.0031645569620253164
8,each day,each day,0.0031645569620253164
9,example,example,0.0031645569620253164
10,remittance,remittance,0.0031645569620253164
11,african,African,0.0031645569620253164
12,accordance,accord,0.0031645569620253164
13,implementation,execution,0.0031645569620253164
14,regulation,regulation,0.0031645569620253164
15,equality,equality,0.0031645569620253164
16,political,political,0.0031645569620253164
17,age,age,0.0031645569620253164
18,sex,sexual_activity,0.0031645569620253164
19,race,race,0.0031645569620253164
20,ethnicity,ethnicity,0.0031645569620253164
21,religion,religion,0.0031645569620253164
22,progressively,progressively,0.0031645569620253164
23,40 per cent,40 per cent,0.0031645569620253164
24,man,man,0.0031645569620253164
25,despite,contempt,0.0031645569620253164
26,rural,rural,0.0031645569620253164
27,give,give,0.0031645569620253164
28,birth,birth,0.0031645569620253164
29,urban,urban,0.0031645569620253164
30,person,person,0.0031645569620253164
31,show,show,0.0031645569620253164
32,poor,poor_people,0.0031645569620253164
33,rich,rich_people,0.0031645569620253164
34,market,market,0.0031645569620253164
35,zero,nothing,0.0031645569620253164
36,treatment,treatment,0.0031645569620253164
37,universal,universal,0.0031645569620253164
38,principle,principle,0.0031645569620253164
39,pay,wage,0.0031645569620253164
40,attention,attention,0.0031645569620253164
41,disadvantaged,disadvantaged,0.0031645569620253164
42,marginalized,marginalized,0.0031645569620253164
43,progress,advancement,0.0031645569620253164
44,datum,datum,0.0031645569620253164
45,rise,rise,0.0031645569620253164
46,60,60,0.0031645569620253164
47,94,94,0.0031645569620253164
48,grow,grow,0.0031645569620253164
49,sustainable,sustainable,0.0031645569620253164
50,environmental,environmental,0.0031645569620253164
51,persist,persist,0.0031645569620253164
52,access,entree,0.0031645569620253164
53,service,service,0.0031645569620253164
54,small,small,0.0031645569620253164
55,island,island,0.0031645569620253164
56,reduction,decrease,0.0031645569620253164
57,international,International,0.0031645569620253164
58,education,education,0.0031645569620253164
59,especially,especially,0.0031645569620253164
60,vulnerable,vulnerable,0.0031645569620253164
61,empower,empower,0.0031645569620253164
62,inclusive,inclusive,0.0031645569620253164
63,equal,peer,0.0031645569620253164
64,discriminatory,discriminatory,0.0031645569620253164
65,law,law,0.0031645569620253164
66,issue,issue,0.0031645569620253164
67,effective,effective,0.0031645569620253164
68,credible,credible,0.0031645569620253164
69,accountable,accountable,0.0031645569620253164
70,safe,safe,0.0031645569620253164
71,regular,regular,0.0031645569620253164
72,responsible,responsible,0.0031645569620253164
73,disease,disease,0.004746835443037975
74,particular,particular,0.004746835443037975
75,financial,financial,0.004746835443037975
76,institution,institution,0.004746835443037975
77,2030,2030,0.004746835443037975
78,develop,develop,0.02689873417721519
79,inequality,inequality,0.023734177215189875
80,policy,policy,0.014240506329113924
81,income,income,0.014240506329113924
82,reduce,reduce,0.014240506329113924
83,economic,economic,0.014240506329113924
84,poverty,poverty,0.012658227848101266
85,need,need,0.012658227848101266
86,social,sociable,0.012658227848101266
87,cent,cent,0.012658227848101266
88,world,universe,0.011075949367088608
89,woman,woman,0.011075949367088608
90,people,people,0.00949367088607595
91,migration,migration,0.007911392405063292
92,opportunity,opportunity,0.007911392405063292
93,include,include,0.007911392405063292
94,ensure,ensure,0.007911392405063292
95,population,population,0.007911392405063292
96,die,die,0.007911392405063292
97,likely,likely,0.007911392405063292
98,disability,disability,0.007911392405063292
99,achieve,achieve,0.007911392405063292
100,promote,promote,0.006329113924050633
101,global,global,0.006329113924050633
102,development,development,0.006329113924050633
103,child,child,0.006329113924050633
104,live,live,0.006329113924050633
105,wellmanaged,wellmanaged,0.004746835443037975
106,discrimination,discrimination,0.004746835443037975
107,life,life,0.004746835443037975
108,well,well,0.004746835443037975
109,plan,plan,0.004746835443037975
110,eliminate,eliminate,0.004746835443037975
111,growth,growth,0.004746835443037975
112,community,community,0.004746835443037975
113,migrant,migrant,0.004746835443037975
114,protection,protection,0.004746835443037975
115,health,health,0.004746835443037975
116,continue,continue,0.004746835443037975
117,state,state,0.004746835443037975
118,three,three,0.004746835443037975
119,average,average,0.004746835443037975
120,national,national,0.004746835443037975
121,export,export,0.004746835443037975
122,increase,addition,0.004746835443037975
123,face,face,0.004746835443037975
