n,r,t
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:science,text:science}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:sustainable,text:sustainable}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:major,text:major}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:function,text:role}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:promote,text:promote}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:opportunity,text:opportunity}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:active_agent,text:active}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:goal,text:goal}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:scheme,text:strategy}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:support,text:support}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:significant,text:significant}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:provide,text:provide}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:develop,text:develop}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:particular,text:particular}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:right,text:right}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:form,text:form}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:new,text:new}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:technology,text:technology}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:service,text:service}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:implement,text:implement}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:appropriate,text:appropriate}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:national,text:national}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:measure,text:measure}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:small,text:small}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:grow,text:grow}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:inequality,text:inequality}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:detrimental,text:detrimental}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:undermine,text:undermine}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:coherence,text:cohesion}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:political,text:political}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:tension,text:tension}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:circumstance,text:circumstance}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:drive,text:drive}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:instability,text:instability}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:unemployment,text:unemployment}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:exclusion,text:exclusion}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:certain,text:certain}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:phenomena,text:phenomena}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:prevent,text:prevent}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:productive,text:productive}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:rural,text:rural}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:urban,text:urban}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:17.2 per cent,text:17.2 per cent}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:more than three,text:more than three}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:struggle,text:struggle}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:fulfil,text:fulfil}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:need,text:need}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:enable,text:enable}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0030534351145038168},"{concept:drinking,text:drinking}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.004580152671755725},"{concept:create,text:create}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.004580152671755725},"{concept:propoor,text:propoor}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.004580152671755725},"{concept:development,text:development}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.004580152671755725},"{concept:policy,text:policy}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.004580152671755725},"{concept:resource,text:resource}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.004580152671755725},"{concept:achieve,text:achieve}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.004580152671755725},"{concept:man,text:man}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.004580152671755725},"{concept:addition,text:increase}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.004580152671755725},"{concept:vulnerability,text:vulnerability}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.004580152671755725},"{concept:catastrophe,text:disaster}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.004580152671755725},"{concept:group,text:group}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.004580152671755725},"{concept:critical,text:critical}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.004580152671755725},"{concept:fact,text:fact}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.004580152671755725},"{concept:employment,text:employ}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.004580152671755725},"{concept:worker,text:worker}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.004580152671755725},"{concept:family,text:family}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.004580152671755725},"{concept:8 per cent,text:8 per cent}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.004580152671755725},"{concept:rate,text:rate}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.004580152671755725},"{concept:BASIC,text:basic}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.051908396946564885},"{concept:poverty,text:poverty}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0366412213740458},"{concept:live,text:live}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.022900763358778626},"{concept:extreme,text:extreme}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.01984732824427481},"{concept:child,text:child}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0183206106870229},"{concept:people,text:people}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.0183206106870229},"{concept:sociable,text:social}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.012213740458015267},"{concept:reduce,text:reduce}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.012213740458015267},"{concept:occupation,text:job}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.010687022900763359},"{concept:population,text:population}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.010687022900763359},"{concept:day,text:day}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.010687022900763359},"{concept:life,text:living}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.010687022900763359},"{concept:decent,text:decent}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.010687022900763359},"{concept:guarantee,text:guarantee}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.010687022900763359},"{concept:economic,text:economic}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.010687022900763359},"{concept:poor_people,text:poor}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.00916030534351145},"{concept:entree,text:access}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.00916030534351145},"{concept:universe,text:world}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.00916030534351145},"{concept:worldwide,text:worldwide}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.007633587786259542},"{concept:subsaharan africa,text:subsaharan africa}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.007633587786259542},"{concept:less than $1.90,text:less than $1.90}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.007633587786259542},"{concept:subsaharan,text:subsaharan}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.007633587786259542},"{concept:majority,text:majority}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.007633587786259542},"{concept:cent,text:cent}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.007633587786259542},"{concept:disproportionately,text:disproportionately}"
"{nombre:End poverty in all its forms everywhere,id:1}",{peso:0.007633587786259542},"{concept:affect,text:affect}"
