n,r,t
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:growth,text:growth}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:labor,text:labour}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:subsaharan,text:subsaharan}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:Western,text:western}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:enter,text:enter}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:secondary,text:secondary}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:subsaharan africa,text:subsaharan africa}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:western asia,text:western asia}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:performa,text:performa}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:today,text:today}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:technology,text:technology}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:resource,text:resource}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:accord,text:accordance}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:population,text:population}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:conference,text:conference}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:Beijing,text:beijing}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:ensure,text:ensure}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:engagement,text:participation}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:leadership,text:leadership}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:life,text:life}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:unpaid,text:unpaid}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:policy,text:policy}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:promotion,text:promotion}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:share,text:share}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:wage,text:pay}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:sector,text:sector}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:land,text:land}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:parliament,text:parliament}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:parity,text:parity}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:five,text:five}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:inheritance,text:inheritance}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:lack,text:lack}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:drop,text:drop}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:2000,text:2000}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:globally,text:globally}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:end,text:end}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:genderbased,text:genderbased}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:representation,text:representation}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:child,text:child}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:sustainable,text:sustainable}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:35 per cent,text:35 per cent}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:nonpartner,text:nonpartner}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:homo,text:human}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:fundamental,text:fundamental}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:matter,text:matter}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:United_Nations,text:un}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:hazard,text:risk}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:3,text:3}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:society,text:society}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:protection,text:protection}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:program,text:programme}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:addition,text:increase}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:5,text:5}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:invest,text:invest}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:tax_return,text:return}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:spend,text:spend}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:empower,text:empower}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:healthy,text:healthy}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:prevent,text:prevent}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0025940337224383916},"{concept:potential,text:potential}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0038910505836575876},"{concept:affect,text:affect}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0038910505836575876},"{concept:face,text:face}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0038910505836575876},"{concept:inequality,text:inequality}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0038910505836575876},"{concept:degree,text:level}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0038910505836575876},"{concept:sociable,text:social}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0038910505836575876},"{concept:populace,text:public}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0038910505836575876},"{concept:action,text:action}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0038910505836575876},"{concept:clasp,text:hold}"
"{nombre:Achieve gender equality and empower all women and girls,id:5}",{peso:0.0038910505836575876},"{concept:rate,text:rate}"
