n,r,t
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:matter,text:matter}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:Caribbean,text:caribbean}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:2018,text:2018}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:inclusive,text:inclusive}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:implement,text:implement}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:migrant,text:migrant}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:secure,text:secure}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:end,text:end}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:form,text:form}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:model,text:framework}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:consumption,text:consumption}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:production,text:production}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:support,text:support}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:encourage,text:encourage}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:highvalue,text:highvalue}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:accord,text:accordance}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:merchandise,text:product}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:force,text:force}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:base,text:stand}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:earn,text:earn}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:sector,text:sector}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:trade,text:trade}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:banking,text:banking}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:reduce,text:reduce}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:working,text:working}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:age,text:age}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:environment,text:environment}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:labor,text:labor}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:real_number,text:real}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:gross_domestic_product,text:gdp}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:worldwide,text:worldwide}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:eradicate,text:eradicate}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:population,text:population}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:mean,text:mean}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:carnival,text:fair}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:workplace,text:workplace}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:lack,text:lack}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:insufficient,text:insufficient}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:underconsumption,text:underconsumption}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:erosion,text:erosion}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:underlie,text:underlie}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:democratic,text:democratic}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:share,text:share}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:gender,text:gender}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:regardless,text:regardless}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:protection,text:protection}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:give,text:give}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:market,text:market}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:match,text:match}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:quality,text:quality}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:education,text:education}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:provide,text:provide}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:economy,text:economy}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:local,text:local}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:homo,text:human}"
"{nombre:Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all,id:8}",{peso:0.002777777777777778},"{concept:community,text:community}"
