n,r,t
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:health,text:health}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:education,text:education}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:daze,text:shock}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:create,text:create}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:limit,text:limit}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:export,text:export}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:measure,text:measure}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:order,text:order}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:seed,text:seed}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:bank,text:bank}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:International,text:international}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:degree,text:level}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:promote,text:promote}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:genetic,text:genetic}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:maintain,text:maintain}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:extreme,text:extreme}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:family,text:family}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:cognition,text:knowledge}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:service,text:service}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:employment,text:employment}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:form,text:form}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:internationally,text:internationally}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:agree,text:agree}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:waste,text:waste}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:safe,text:safe}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:round,text:round}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:poverty,text:poverty}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:barrier,text:barrier}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:future,text:future}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:well,text:well}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:contribute,text:contribute}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:enhance,text:enhance}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:community,text:community}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:resilient,text:resilient}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:diverseness,text:diversity}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:subsaharan,text:subsaharan}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:prevalence,text:prevalence}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:subsaharan africa,text:subsaharan africa}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:majority,text:majority}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:live,text:live}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:estimated,text:estimated}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:profound,text:profound}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:nourish,text:nourish}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:expect,text:expect}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:2 billion,text:2 billion}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:2050,text:2050}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:cause,text:cause}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:age,text:age}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:meet,text:meet}"
"{nombre:End hunger, achieve food security and improved nutrition and promote sustainable agriculture,id:2}",{peso:0.002628120893561104},"{concept:opportunity,text:opportunity}"
