n,r,t
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:change,text:change}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:today,text:today}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:affect,text:affect}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:day,text:day}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:preventable,text:preventable}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:measle,text:measle}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:tuberculosis,text:tuberculosis}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:16,000,text:16,000}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:each day,text:each day}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:example,text:example}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:remittance,text:remittance}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:African,text:african}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:accord,text:accordance}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:execution,text:implementation}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:regulation,text:regulation}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:equality,text:equality}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:political,text:political}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:age,text:age}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:sexual_activity,text:sex}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:race,text:race}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:ethnicity,text:ethnicity}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:religion,text:religion}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:progressively,text:progressively}"
"{nombre:Reduce inequality within and among countries,id:10}",{peso:0.0031645569620253164},"{concept:40 per cent,text:40 per cent}"
